,,,,,DL,,,,,,,,,D E,,,,1 US $ = 83,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.7356,2.7456,2.7556,2.7656,2.7756,2.7856,2.7956,2.8056,2.8156,2.8256,2.8356,2.8456,2.8556,2.8656,2.8756,2.8856,2.8956,2.9056,2.9156,2.9256,2.9356,2.9456,2.9556,2.9656,2.9756,2.9856,2.9956,3.0056,3.0156,3.0256
,2.7455,2.7555,2.7655,2.7755,2.7855,2.7955,2.8055,2.8155,2.8255,2.8355,2.8455,2.8555,2.8655,2.8755,2.8855,2.8955,2.9055,2.9155,2.9255,2.9355,2.9455,2.9555,2.9655,2.9755,2.9855,2.9955,3.0055,3.0155,3.0255,3.0355
VVS,675,676,677,678,679,680,681,682,725,750,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,900,925
VS1,525,525,525,525,525,525,525,525,525,525,550,550,550,550,550,550,550,550,550,550,575,575,575,575,575,575,575,575,575,575
VS2,485,485,485,485,485,485,485,485,485,485,510,510,510,510,510,510,510,510,510,510,530,530,530,530,530,530,530,530,530,530
SI1,450,450,450,450,450,450,450,450,450,450,470,470,470,470,470,470,470,470,470,470,490,490,490,490,490,490,490,490,490,490
SI2,415,415,415,415,415,415,415,415,415,415,435,435,435,435,435,435,435,435,435,435,450,450,450,450,450,450,450,450,450,450
SI3,385,385,385,385,385,385,385,385,385,385,400,400,400,400,400,400,400,400,400,400,415,415,415,415,415,415,415,415,415,415
I1,350,350,350,350,350,350,350,350,350,350,360,360,360,360,360,360,360,360,360,360,375,375,375,375,375,375,375,375,375,375
I2,315,315,315,315,315,315,315,315,315,315,325,325,325,325,325,325,325,325,325,325,340,340,340,340,340,340,340,340,340,340
I3,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,250,250,250,250,250,250,250,250,250,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0356,3.0456,3.0556,3.0656,3.0756,3.0856,3.0956,3.1056,3.1156,3.1256,3.1356,3.1456,3.1556,3.1656,3.1756,3.1856,3.1956,3.2056,3.2156,3.2256,3.2356,3.2456,3.2556,3.2656,3.2756,3.2856,3.2956,3.3056,3.3156,3.3256
,3.0455,3.0555,3.0655,3.0755,3.0855,3.0955,3.1055,3.1155,3.1255,3.1355,3.1455,3.1555,3.1655,3.1755,3.1855,3.1955,3.2055,3.2155,3.2255,3.2355,3.2455,3.2555,3.2655,3.2755,3.2855,3.2955,3.3055,3.3155,3.3255,3.3355
VVS,945,946,947,948,949,950,951,840,841,842,843,844,845,846,847,848,849,850,900,925,945,946,947,948,949,950,945,946,947,948
VS1,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575
VS2,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530
SI1,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
