,1.4356,1.4456,1.4556,1.4656,1.4756,1.4856,1.4956,1.5056,1.5156,1.5256,1.5356,1.5456,1.5556,1.5656,1.5756,1.5856,1.5956,1.6056,1.6156,1.6256,1.6356,1.6456,1.6556,1.6656,1.6756,1.6856,1.6956,1.7056,1.7156,1.7256,1.7356,1.7456,1.7556,1.7656,1.7756,1.7856,1.7956,1.8056,1.8156,1.8256,1.8356,1.8456,1.8556,1.8656,1.8756,1.8856,1.8956,1.9056,1.9156,1.9256,1.9356,1.9456,1.9556,1.9656,1.9756,1.9856,1.9956,2.0056,2.0156,2.0256,2.0356,2.0456,2.0556,2.0656,2.0756,2.0856,2.0956,2.1056,2.1156,2.1256,2.1356,2.1456,2.1556,2.1656,2.1756,2.1856,2.1956,2.2056,2.2156,2.2256,2.2356,2.2456,2.2556,2.2656,2.2756,2.2856,2.2956,2.3056,2.3156,2.3256,2.3356,2.3456,2.3556,2.3656,2.3756,2.3856,2.3956,2.4056,2.4156,2.4256,2.4356,2.4456,2.4556,2.4656,2.4756,2.4856,2.4956,2.5056,2.5156,2.5256,2.5356,2.5456,2.5556,2.5656,2.5756,2.5856,2.5956,2.6056,2.6156,2.6256,2.6356,2.6456,2.6556,2.6656,2.6756,2.6856,2.6956,2.7056,2.7156,2.7256,2.7356,2.7456,2.7556,2.7656,2.7756,2.7856,2.7956,2.8056,2.8156,2.8256,2.8356,2.8456,2.8556,2.8656,2.8756,2.8856,2.8956,2.9056,2.9156,2.9256,2.9356,2.9456,2.9556,2.9656,2.9756,2.9856,2.9956,3.0056,3.0156,3.0256,3.0356,3.0456,3.0556,3.0656,3.0756,3.0856,3.0956,3.1056,3.1156,3.1256,3.1356,3.1456,3.1556,3.1656,3.1756,3.1856,3.1956,3.2056,3.2156,3.2256,3.2356,3.2456,3.2556,3.2656,3.2756,3.2856,3.2956,3.3056,3.3156,3.3256,3.3356,3.3456,3.3556,3.3656,3.3756,3.3856,3.3956,3.4056,3.4156,3.4256,3.4356,3.4456,3.4556,3.4656,3.4756,3.4856,3.4956,3.5056,3.5156,3.5256,3.5356,3.5456,3.5556,3.5656,3.5756,3.5856,3.5956,3.6056,3.6156,3.6256,3.6356,3.6456,3.6556,3.6656,3.6756,3.6856,3.6956,3.7056,3.7156,3.7256,3.7356,3.7456,3.7556,3.7656,3.7756,3.7856,3.7956,3.8056,3.8156,3.8256,3.8356,3.8456,3.8556,3.8656,3.8756,3.8856,3.8956,3.9056,3.9156,3.9256,3.9356,3.9456,3.9556,3.9656,3.9756,3.9856,3.9956,4.0056,4.0156,4.0256,4.0356,4.0456,4.0556,4.0656,4.0756,4.0856,4.0956,4.1056,4.1156,4.1256,4.1356,4.1456,4.1556,4.1656,4.1756,4.1856,4.1956,4.2056,4.2156,4.2256,4.2356,4.2456,4.2556,4.2656,4.2756
,1.4455,1.4555,1.4655,1.4755,1.4855,1.4955,1.5055,1.5155,1.5255,1.5355,1.5455,1.5555,1.5655,1.5755,1.5855,1.5955,1.6055,1.6155,1.6255,1.6355,1.6455,1.6555,1.6655,1.6755,1.6855,1.6955,1.7055,1.7155,1.7255,1.7355,1.7455,1.7555,1.7655,1.7755,1.7855,1.7955,1.8055,1.8155,1.8255,1.8355,1.8455,1.8555,1.8655,1.8755,1.8855,1.8955,1.9055,1.9155,1.9255,1.9355,1.9455,1.9555,1.9655,1.9755,1.9855,1.9955,2.0055,2.0155,2.0255,2.0355,2.0455,2.0555,2.0655,2.0755,2.0855,2.0955,2.1055,2.1155,2.1255,2.1355,2.1455,2.1555,2.1655,2.1755,2.1855,2.1955,2.2055,2.2155,2.2255,2.2355,2.2455,2.2555,2.2655,2.2755,2.2855,2.2955,2.3055,2.3155,2.3255,2.3355,2.3455,2.3555,2.3655,2.3755,2.3855,2.3955,2.4055,2.4155,2.4255,2.4355,2.4455,2.4555,2.4655,2.4755,2.4855,2.4955,2.5055,2.5155,2.5255,2.5355,2.5455,2.5555,2.5655,2.5755,2.5855,2.5955,2.6055,2.6155,2.6255,2.6355,2.6455,2.6555,2.6655,2.6755,2.6855,2.6955,2.7055,2.7155,2.7255,2.7355,2.7455,2.7555,2.7655,2.7755,2.7855,2.7955,2.8055,2.8155,2.8255,2.8355,2.8455,2.8555,2.8655,2.8755,2.8855,2.8955,2.9055,2.9155,2.9255,2.9355,2.9455,2.9555,2.9655,2.9755,2.9855,2.9955,3.0055,3.0155,3.0255,3.0355,3.0455,3.0555,3.0655,3.0755,3.0855,3.0955,3.1055,3.1155,3.1255,3.1355,3.1455,3.1555,3.1655,3.1755,3.1855,3.1955,3.2055,3.2155,3.2255,3.2355,3.2455,3.2555,3.2655,3.2755,3.2855,3.2955,3.3055,3.3155,3.3255,3.3355,3.3455,3.3555,3.3655,3.3755,3.3855,3.3955,3.4055,3.4155,3.4255,3.4355,3.4455,3.4555,3.4655,3.4755,3.4855,3.4955,3.5055,3.5155,3.5255,3.5355,3.5455,3.5555,3.5655,3.5755,3.5855,3.5955,3.6055,3.6155,3.6255,3.6355,3.6455,3.6555,3.6655,3.6755,3.6855,3.6955,3.7055,3.7155,3.7255,3.7355,3.7455,3.7555,3.7655,3.7755,3.7855,3.7955,3.8055,3.8155,3.8255,3.8355,3.8455,3.8555,3.8655,3.8755,3.8855,3.8955,3.9055,3.9155,3.9255,3.9355,3.9455,3.9555,3.9655,3.9755,3.9855,3.9955,4.0055,4.0155,4.0255,4.0355,4.0455,4.0555,4.0655,4.0755,4.0855,4.0955,4.1055,4.1155,4.1255,4.1355,4.1455,4.1555,4.1655,4.1755,4.1855,4.1955,4.2055,4.2155,4.2255,4.2355,4.2455,4.2555,4.2655,4.2755,4.2855
VVS,545,545,545,545,575,600,600,0,545,545,545,545,545,545,545,545,545,545,575,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,700,700,700,700,700,700,700,0,0,0,0,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,675,675,675,675,675,675,675,675,675,675,725,725,725,725,725,725,725,725,725,725,750,750,750,750,750,750,750,750,0,0,700,700,700,700,700,700,700,700,700,700,700,700,701,702,703,704,705,705,705,705,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,800,800,800,800,800,800,800,800,800,800,800,1000,1002,1004,1006,1008,1010,1012,1014,1080,1100,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1145,1147,1149,1149,1149,1149,1149,1149,1149,1149,1175,1175,1175,1175,1175,1175,1175,1175,1175,1260,1265,1265,1265,1265,1265,1265,1265,0,0,1225,1250,1252,1254,1256,1258,1260,1260,1260,1300,1325,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
VS1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,400,400,400,400,400,405,405,405,405,405,410,410,410,410,410,415,415,415,415,415,420,420,420,420,420,425,425,425,425,425,440,440,440,440,440,440,440,440,440,440,450,450,450,450,450,450,450,450,450,450,470,470,470,470,470,470,470,470,470,470,480,480,480,480,480,480,480,480,480,480,510,510,510,510,510,510,510,510,510,510,515,515,515,515,515,515,515,515,515,515,525,525,525,525,525,535,535,535,535,535,555,555,555,555,555,560,560,560,560,560,585,585,585,585,585,590,590,590,590,590,600,600,600,600,600,605,605,605,605,605,610,610,610,610,610,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,635,635,635,635,635,640,640,640,640,640,670,670,670,670,670,675,675,675,675,675,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,725,725,725,730,730,730,730,730,730,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
VS2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,365,365,365,365,365,370,370,370,370,370,375,375,375,375,375,380,380,380,380,380,385,385,385,385,385,390,390,390,390,390,405,405,405,405,405,405,405,405,405,405,410,410,410,410,410,410,410,410,410,410,435,435,435,435,435,435,435,435,435,435,440,440,440,440,440,440,440,440,440,440,470,470,470,470,470,470,470,470,470,470,475,475,475,475,475,475,475,475,475,475,480,480,480,480,480,485,485,485,485,485,510,510,510,510,510,515,515,515,515,515,535,535,535,535,535,540,540,540,540,540,560,560,560,560,560,565,565,565,565,565,570,570,570,570,570,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,590,590,590,590,590,595,595,595,595,595,625,625,625,625,625,630,630,630,630,630,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,680,680,680,685,685,685,685,685,685,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
SI1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,325,325,325,325,325,330,330,330,330,330,335,335,335,335,335,340,340,340,340,340,345,345,345,345,345,350,350,350,350,350,360,360,360,360,360,360,360,360,360,360,370,370,370,370,370,370,370,370,370,370,385,385,385,385,385,385,385,385,385,385,390,390,390,390,390,390,390,390,390,390,420,420,420,420,420,420,420,420,420,420,425,425,425,425,425,425,425,425,425,425,440,440,440,440,440,445,445,445,445,445,465,465,465,465,465,470,470,470,470,470,490,490,490,490,490,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,540,540,540,540,540,545,545,545,545,545,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
SI2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,310,310,310,310,310,315,315,315,315,315,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,340,340,340,340,340,340,340,340,340,340,345,345,345,345,345,345,345,345,345,345,360,360,360,360,360,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,400,400,400,400,400,400,400,400,400,400,405,405,405,405,405,405,405,405,405,405,400,400,400,400,400,405,405,405,405,405,420,420,420,420,420,425,425,425,425,425,440,440,440,440,440,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,500,500,500,500,500,505,505,505,505,505,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520
SI3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,275,275,275,275,275,280,280,280,280,280,285,285,285,285,285,285,285,285,285,285,290,290,290,290,290,290,290,290,290,290,305,305,305,305,305,305,305,305,305,305,310,310,310,310,310,310,310,310,310,310,325,325,325,325,325,325,325,325,325,325,330,330,330,330,330,330,330,330,330,330,355,355,355,355,355,355,355,355,355,355,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,365,365,365,365,365,380,380,380,380,380,385,385,385,385,385,400,400,400,400,400,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,440,440,440,440,440,445,445,445,445,445,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
I1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,255,255,255,255,255,260,260,260,260,260,265,265,265,265,265,265,265,265,265,265,270,270,270,270,270,260,260,260,260,260,285,285,285,285,285,285,285,285,285,285,290,290,290,290,290,290,290,290,290,290,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,320,320,320,320,320,325,325,325,325,325,340,340,340,340,340,345,345,345,345,345,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,390,390,390,390,390,395,395,395,395,395,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
I2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,270,270,270,270,270,275,275,275,275,275,280,280,280,280,280,245,245,245,245,245,300,300,300,300,300,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,320,320,320,320,320,325,325,325,325,325,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335
